,CRB商品指数
2021-09-01,218.17
2021-09-08,219.3
2021-09-09,218.47
2021-09-10,220.43
2021-09-13,221.2
2021-09-14,221.52
2021-09-15,225.46
2021-09-16,223.94
2021-09-17,222.11
2021-09-20,218.1
2021-09-21,218.32
2021-09-22,221.79
2021-09-23,223.99
2021-09-24,225.31
2021-09-27,228.24
2021-09-28,228.59
2021-09-29,227.15
2021-09-30,228.92
2021-10-01,230.38
2021-10-04,233.08
2021-10-05,235.79
2021-10-06,232.23
2021-10-07,234.34
2021-10-08,235.42
2021-10-11,236.35
2021-10-12,235.87
2021-10-13,235.7
2021-10-14,238.13
2021-10-15,239.27
2021-10-18,237.89
2021-10-19,238.25
2021-10-20,240.35
2021-10-21,236.6
2021-10-22,237.68
2021-10-25,240.58
2021-10-26,241.18
2021-10-27,238.95
2021-10-28,238.47
2021-10-29,237.7
2021-11-01,239.23
2021-11-02,239.2
2021-11-03,235.79
2021-11-04,233.45
2021-11-05,235
2021-11-08,235.55
2021-11-09,236.59
2021-11-10,234.66
2021-11-11,237.46
2021-11-12,237.09
2021-11-15,237.46
2021-11-16,237.49
2021-11-17,236.14
2021-11-18,236.36
2021-11-19,235.02
2021-11-22,235.26
2021-11-23,238.14
2021-11-24,238.37
2021-11-26,226.73
2021-11-29,225.72
2021-11-30,219.19
2021-12-01,218.39
2021-12-02,219.55
2021-12-03,220.64
2021-12-06,223.25
2021-12-07,225.74
2021-12-08,227.13
2021-12-09,225.36
2021-12-10,225.91
2021-12-13,225.35
2021-12-14,224.33
2021-12-15,223.82
2021-12-16,227.24
2021-12-17,225.14
2021-12-20,221.84
2021-12-21,226.35
2021-12-22,230.17
2021-12-23,230.9
2021-12-27,234.35
2021-12-28,233.84
2021-12-29,234.86
2021-12-30,233.96
2021-12-31,232.37
2022-01-03,233
2022-01-04,235.5
2022-01-05,236.71
2022-01-06,236.75
2022-01-07,237.9
2022-01-10,236.64
2022-01-11,241.59
2022-01-12,245.19
2022-01-13,242.9
2022-01-14,245.43
2022-01-18,247.07
2022-01-19,249.93
2022-01-20,250.01
2022-01-21,248.48
2022-01-24,245.59
2022-01-25,248.78
2022-01-26,251.93
2022-01-27,250.91
2022-01-28,252.85
2022-01-31,255.12
2022-02-01,256.8
2022-02-02,259.49
2022-02-03,259.99
2022-02-04,261.29
2022-02-07,260.48
2022-02-08,259.49
2022-02-09,262.13
2022-02-10,261.58
2022-02-11,263.08
2022-02-14,265.43
2022-02-15,262.07
2022-02-16,265.26
2022-02-17,263.68
2022-02-18,263.62
2022-02-22,267.13
2022-02-23,268.32
2022-02-24,269.02
2022-02-25,264.44
2022-02-28,269.07
2022-03-01,280.86
2022-03-02,289.09
2022-03-03,289.2
2022-03-04,299.95
2022-03-07,304.23
2022-03-08,309.12
2022-03-09,292.09
2022-03-10,291.32
2022-03-11,295.11
2022-03-14,288.45
2022-03-15,281.35
2022-03-16,280.57
2022-03-17,290.73
2022-03-18,292.25
2022-03-21,299.56
2022-03-22,299.1
2022-03-23,306.32
2022-03-24,304.85
2022-03-25,307.33
2022-03-28,299.24
2022-03-29,294.69
2022-03-30,301.32
2022-03-31,295.18
2022-04-01,293.18
2022-04-04,297.64
2022-04-05,298.15
2022-04-06,293.14
2022-04-07,294.58
2022-04-08,298.21
2022-04-11,295.17
2022-04-12,302.87
2022-04-13,308.2
2022-04-14,311.92
2022-04-18,315.95
2022-04-19,306.9
2022-04-20,307.24
2022-04-21,309.21
2022-04-22,304.23
2022-04-25,298.54
2022-04-26,302.67
2022-04-27,305.71
2022-04-28,308.02
2022-04-29,308.27
2022-05-02,309.16
2022-05-03,306.78
2022-05-04,314.27
2022-05-05,314.27
2022-05-06,311.32
2022-05-09,299.45
2022-05-10,297.09
2022-05-11,304.89
2022-05-12,304.06
2022-05-13,308.58
2022-05-16,315.59
2022-05-17,315.4
2022-05-18,309.37
2022-05-19,313.75
2022-05-20,312.73
2022-05-23,315.2
2022-05-24,313.75
2022-05-25,314.57
2022-05-26,318.66
2022-05-27,320.52
2022-05-31,316.54
2022-06-01,320.02
2022-06-02,323.1
2022-06-03,323.27
2022-06-06,326.82
2022-06-07,327.11
2022-06-08,329.13
2022-06-09,329.59
2022-06-10,325.81
2022-06-13,321.44
2022-06-14,315.67
2022-06-15,314.79
2022-06-16,317.17
2022-06-17,309.08
2022-06-21,309
2022-06-22,304.65
2022-06-23,296.69
2022-06-24,298.55
2022-06-27,298.78
2022-06-28,301
2022-06-29,299.34
2022-06-30,291.15
2022-07-01,291.83
2022-07-05,278.16
2022-07-06,276.13
2022-07-07,285.08
2022-07-08,287.75
2022-07-11,287.78
2022-07-12,276.01
2022-07-13,277.94
2022-07-14,273.26
2022-07-15,277.64
2022-07-18,286.54
2022-07-19,285.47
2022-07-20,287.04
2022-07-21,281.84
2022-07-22,281.16
2022-07-25,284.76
2022-07-26,286.5
2022-07-27,289.08
2022-07-28,289.02
2022-07-29,292.06
2022-08-01,286.11
2022-08-02,283.7
2022-08-03,281.72
2022-08-04,281.21
2022-08-05,281.04
2022-08-08,281.8
2022-08-09,284.55
2022-08-10,289.27
2022-08-11,295.06
2022-08-12,293.48
2022-08-15,289.54
2022-08-16,287.67
2022-08-17,288.87
2022-08-18,290.33
2022-08-19,292.03
2022-08-22,292.83
2022-08-23,296.31
2022-08-24,298.86
2022-08-25,296.75
2022-08-26,299.09
2022-08-29,301.75
2022-08-30,293.58
2022-08-31,290.41
2022-09-01,284.62
2022-09-02,284.47
2022-09-06,282.62
2022-09-07,276.52
2022-09-08,278.31
2022-09-09,284.12
2022-09-13,285.77
2022-09-14,286.33
2022-09-15,281
2022-09-16,278.88
2022-09-19,279.78
2022-09-20,279.54
2022-09-21,278.23
2022-09-22,277.85
2022-09-23,268.47
2022-09-26,264.3
2022-09-27,265.97
2022-09-28,271.82
2022-09-29,271.16
2022-09-30,268.29
2022-10-03,272.82
2022-10-04,280.43
2022-10-05,281.89
2022-10-06,282.26
2022-10-07,285.62
2022-10-10,283.06
2022-10-11,281.96
2022-10-12,279.25
2022-10-13,282.49
2022-10-14,276.69
2022-10-17,275.33
2022-10-18,271.55
2022-10-19,271.35
2022-10-20,271.72
2022-10-21,272.36
2022-10-24,271.82
2022-10-25,273.99
2022-10-26,277.35
2022-10-27,276.81
2022-10-28,272.62
2022-10-31,274.13
2022-11-01,276.34
2022-11-02,280.66
2022-11-03,278.32
2022-11-04,287.55
2022-11-07,286.92
2022-11-08,284.05
2022-11-09,279.78
2022-11-10,282.12
2022-11-11,285.79
2022-11-14,282.16
2022-11-15,284.36
2022-11-16,282.78
2022-11-17,277.6
2022-11-18,276.4
2022-11-21,276.52
2022-11-22,279.24
2022-11-23,276.87
2022-11-25,273.25
2022-11-28,272.92
2022-11-29,275.52
2022-11-30,279.76
2022-12-01,279.46
2022-12-02,276.69
2022-12-05,270.35
2022-12-06,267.45
2022-12-07,265.89
2022-12-08,266.4
2022-12-09,266.28
2022-12-12,269.37
2022-12-13,275.03
2022-12-14,276.63
2022-12-15,274.72
2022-12-16,271.38
2022-12-19,270.56
2022-12-20,272.27
2022-12-21,276.21
2022-12-22,273.64
2022-12-23,278.11
2022-12-27,278.47
2022-12-28,277.35
2022-12-29,276.01
2022-12-30,277.75
2023-01-03,270.18
2023-01-04,264.17
2023-01-05,263.69
2023-01-06,264.82
2023-01-09,268.64
2023-01-10,268.09
2023-01-11,271.27
2023-01-12,273.77
2023-01-13,275.91
2023-01-17,277.22
2023-01-18,276.13
2023-01-19,276.62
2023-01-20,278.46
2023-01-23,280.25
2023-01-24,277.97
2023-01-25,277.48
2023-01-26,279.55
2023-01-27,277.66
2023-01-30,274.43
2023-01-31,278.09
2023-02-01,271.8
2023-02-02,271.63
2023-02-03,266.19
2023-02-06,266.21
2023-02-07,270.79
2023-02-08,270.94
2023-02-09,270.48
2023-02-10,272.67
2023-02-13,272.79
2023-02-14,273.56
2023-02-15,270.38
2023-02-16,270.25
2023-02-17,267.57
2023-02-21,268.48
2023-02-22,266.1
2023-02-23,266.94
2023-02-24,267.15
2023-02-27,268.6
2023-02-28,269.84
2023-03-01,272.81
2023-03-02,271.3
2023-03-03,275.05
2023-03-06,273.59
2023-03-07,269.58
2023-03-08,267.02
2023-03-09,264.65
2023-03-10,264.99
2023-03-13,264.67
2023-03-14,261.08
2023-03-15,254.03
2023-03-16,256.65
2023-03-17,254.66
2023-03-20,255.17
2023-03-21,257.68
2023-03-22,258.65
2023-03-23,257.78
2023-03-24,258.49
2023-03-27,262.33
2023-03-28,263.49
2023-03-29,262.71
2023-03-30,264.38
2023-03-31,267.73
2023-04-03,271.34
2023-04-04,271.15
2023-04-05,272.25
2023-04-06,271.99
2023-04-10,271.69
2023-04-11,274.73
2023-04-12,275.73
2023-04-13,275.59
2023-04-14,276.22
2023-04-17,276.81
2023-04-18,278.93
2023-04-19,275.02
2023-04-20,271.91
2023-04-21,270.8
2023-04-24,272.61
2023-04-25,268.78
2023-04-26,264.94
2023-04-27,265.22
2023-04-28,268.16
2023-05-01,266.32
2023-05-02,260.64
2023-05-03,256.56
2023-05-04,256.81
2023-05-05,261.6
2023-05-08,264
2023-05-09,264.12
2023-05-10,262.22
2023-05-11,257.99
2023-05-12,257.92
2023-05-15,261.65
2023-05-16,259.89
2023-05-17,262.28
2023-05-18,261.66
2023-05-19,262.13
2023-05-22,261.58
2023-05-23,261.21
2023-05-24,262.7
2023-05-25,258.49
2023-05-26,260.7
2023-05-30,255.5
2023-05-31,253.85
2023-06-01,257.37
2023-06-02,259.69
2023-06-05,260.44
2023-06-06,260.68
2023-06-07,261.43
2023-06-08,262.32
2023-06-09,260.53
2023-06-12,256.94
2023-06-13,260.81
2023-06-14,260.27
2023-06-15,266.91
2023-06-16,270.91
2023-06-20,267.41
2023-06-21,270.65
2023-06-22,265.72
2023-06-23,263
2023-06-26,263.44
2023-06-27,259.71
2023-06-28,259.22
2023-06-29,259.08
2023-06-30,261.99
2023-07-03,260.9
