,HSI
2016-01-04,21327.12
2016-01-05,21188.72
2016-01-06,20980.81
2016-01-07,20333.34
2016-01-08,20453.71
2016-01-11,19888.5
2016-01-12,19711.76
2016-01-13,19934.88
2016-01-14,19817.41
2016-01-15,19520.77
2016-01-18,19237.45
2016-01-19,19635.81
2016-01-20,18886.3
2016-01-21,18542.15
2016-01-22,19080.51
2016-01-25,19340.14
2016-01-26,18860.8
2016-01-27,19052.45
2016-01-28,19195.83
2016-01-29,19683.11
2016-02-01,19595.5
2016-02-02,19446.84
2016-02-03,18991.59
2016-02-04,19183.09
2016-02-05,19288.17
2016-02-11,18545.8
2016-02-12,18319.58
2016-02-15,18918.14
2016-02-16,19122.08
2016-02-17,18924.57
2016-02-18,19363.08
2016-02-19,19285.5
2016-02-22,19464.09
2016-02-23,19414.78
2016-02-24,19192.45
2016-02-25,18888.75
2016-02-26,19364.15
2016-02-29,19111.93
2016-03-01,19407.46
2016-03-02,20003.49
2016-03-03,19941.76
2016-03-04,20176.7
2016-03-07,20159.72
2016-03-08,20011.58
2016-03-09,19996.26
2016-03-10,19984.42
2016-03-11,20199.6
2016-03-14,20435.34
2016-03-15,20288.77
2016-03-16,20257.7
2016-03-17,20503.81
2016-03-18,20671.63
2016-03-21,20684.15
2016-03-22,20666.75
2016-03-23,20615.23
2016-03-24,20345.61
2016-03-29,20366.3
2016-03-30,20803.39
2016-03-31,20776.7
2016-04-01,20498.92
2016-04-05,20177
2016-04-06,20206.67
2016-04-07,20266.05
2016-04-08,20370.4
2016-04-11,20440.81
2016-04-12,20504.44
2016-04-13,21158.71
2016-04-14,21337.81
2016-04-15,21316.47
2016-04-18,21161.5
2016-04-19,21436.21
2016-04-20,21236.31
2016-04-21,21622.25
2016-04-22,21467.04
2016-04-25,21304.44
2016-04-26,21407.27
2016-04-27,21361.6
2016-04-28,21388.03
2016-04-29,21067.05
2016-05-03,20676.94
2016-05-04,20525.83
2016-05-05,20449.82
2016-05-06,20109.87
2016-05-09,20156.81
2016-05-10,20242.68
2016-05-11,20055.29
2016-05-12,19915.46
2016-05-13,19719.29
2016-05-16,19883.95
2016-05-17,20118.8
2016-05-18,19826.41
2016-05-19,19694.33
2016-05-20,19852.2
2016-05-23,19809.03
2016-05-24,19830.43
2016-05-25,20368.05
2016-05-26,20397.11
2016-05-27,20576.77
2016-05-30,20629.39
2016-05-31,20815.09
2016-06-01,20760.98
2016-06-02,20859.22
2016-06-03,20947.24
2016-06-06,21030.22
2016-06-07,21328.24
2016-06-08,21297.88
2016-06-10,21042.64
2016-06-13,20512.99
2016-06-14,20387.53
2016-06-15,20467.52
2016-06-16,20038.42
2016-06-17,20169.98
2016-06-20,20510.2
2016-06-21,20668.44
2016-06-22,20795.12
2016-06-23,20868.34
2016-06-24,20259.13
2016-06-27,20227.3
2016-06-28,20172.46
2016-06-29,20436.12
2016-06-30,20794.37
2016-07-04,21059.2
2016-07-05,20750.72
2016-07-06,20495.29
2016-07-07,20706.92
2016-07-08,20564.17
2016-07-11,20880.5
2016-07-12,21224.74
2016-07-13,21322.37
2016-07-14,21561.06
2016-07-15,21659.25
2016-07-18,21803.18
2016-07-19,21673.2
2016-07-20,21882.48
2016-07-21,22000.49
2016-07-22,21964.27
2016-07-25,21993.44
2016-07-26,22129.73
2016-07-27,22218.99
2016-07-28,22174.34
2016-07-29,21891.37
2016-08-01,22129.14
2016-08-03,21739.12
2016-08-04,21832.23
2016-08-05,22146.09
2016-08-08,22494.76
2016-08-09,22465.61
2016-08-10,22492.43
2016-08-11,22580.55
2016-08-12,22766.91
2016-08-15,22932.51
2016-08-16,22910.84
2016-08-17,22799.78
2016-08-18,23023.16
2016-08-19,22937.22
