xx,TRADE_DATE,SECURITY_CODE,SECURITY_ABBR,CALL_VOLUME,PUT_VOLUME,TOTAL_VOLUME,LEAVES_CALL_QTY,LEAVES_PUT_QTY,LEAVES_QTY,CJ_PC,CCL_PC
2.02e+13,20230324,159915,创业板ETF,389395,307609,697004,501953,357246,859199,79.0,71.17
2.02e+13,20230324,159919,沪深300ETF,65074,64013,129087,74825,88432,163257,98.37,118.19
2.02e+13,20230324,159922,中证500ETF,33851,27884,61735,51598,59614,111212,82.37,115.54
2.02e+13,20230324,300,IO,28429,25790,54219,64196,63782,127978,90.72,99.36
2.02e+13,20230324,852,MO,15896,14701,30597,34624,33250,67874,92.48,96.03
2.02e+13,20230324,16,HO,9479,5990,15469,23926,14484,38410,63.19,60.54
2.02e+13,20230327,510050,50ETF,658826,640893,1299719,924269,846925,1771194,97.28,91.63
2.02e+13,20230327,510300,300ETF,464787,416004,880791,598818,633047,1231865,89.5,105.72
2.02e+13,20230327,510500,500ETF,178157,156223,334380,237334,282179,519513,87.69,118.9
2.02e+13,20230327,159901,深证100ETF,37605,27924,65529,44426,38888,83314,74.26,87.53
2.02e+13,20230327,159915,创业板ETF,433156,396550,829706,484460,370767,855227,91.55,76.53
2.02e+13,20230327,159919,沪深300ETF,69615,63848,133463,82914,92395,175309,91.72,111.43
2.02e+13,20230327,159922,中证500ETF,35313,31819,67132,53593,60316,113909,90.11,112.54
2.02e+13,20230327,300,IO,33240,27300,60540,65766,64345,130111,82.13,97.84
2.02e+13,20230327,852,MO,19819,16159,35978,34765,34567,69332,81.53,99.43
2.02e+13,20230327,16,HO,11910,9207,21117,25389,15001,40390,77.3,59.08
2.02e+13,20230328,510050,50ETF,540945,459318,1000263,951469,858404,1809873,84.91,90.22
2.02e+13,20230328,510300,300ETF,334902,310465,645367,609554,643494,1253048,92.7,105.57
2.02e+13,20230328,510500,500ETF,167188,189063,356251,243600,294621,538221,113.08,120.94
2.02e+13,20230328,159901,深证100ETF,27484,17062,44546,47047,41932,88979,62.08,89.13
2.02e+13,20230328,159915,创业板ETF,276318,256234,532552,507053,374893,881946,92.73,73.94
2.02e+13,20230328,159919,沪深300ETF,49739,48336,98075,87712,97240,184952,97.18,110.86
2.02e+13,20230328,159922,中证500ETF,32650,38815,71465,55531,63720,119251,118.88,114.75
2.02e+13,20230328,300,IO,26678,22354,49032,68346,65429,133775,83.79,95.73
2.02e+13,20230328,852,MO,18190,16850,35040,35803,35482,71285,92.63,99.1
2.02e+13,20230328,16,HO,10506,6113,16619,26648,15345,41993,58.19,57.58
2.02e+13,20230329,510050,50ETF,571315,472308,1043623,986839,877120,1863959,82.67,88.88
2.02e+13,20230329,510300,300ETF,386524,350216,736740,623111,658931,1282042,90.61,105.75
2.02e+13,20230329,510500,500ETF,166984,172604,339588,252059,304448,556507,103.37,120.78
2.02e+13,20230329,159901,深证100ETF,20018,14157,34175,46326,42771,89097,70.72,92.33
2.02e+13,20230329,159915,创业板ETF,218879,180503,399382,514064,383467,897531,82.47,74.6
2.02e+13,20230329,159919,沪深300ETF,51459,51878,103337,90911,105078,195989,100.81,115.58
