,上证50,上证50,上证50,上证50,上证50,上证50,上证50,上证50
,C成交量,P成交量,总成交量,C持仓量,P持仓量,总持仓量,P/C成交,P/C持仓
2021-07-05,993227,878346,1871573,1920884,1190002,3110886,88,62
2021-07-06,1135031,1006073,2141104,2002896,1220005,3222901,89,61
2021-07-07,1164797,956194,2120991,1981212,1251434,3232646,82,63
2021-07-08,1166232,1012770,2179002,2153691,1269911,3423602,87,59
2021-07-09,1288956,1183515,2472471,2274734,1282483,3557217,92,56
2021-07-12,1637609,1085372,2722981,2250440,1262264,3512704,66,56
2021-07-13,1094390,773042,1867432,2213487,1278339,3491826,71,58
2021-07-14,1371314,1190570,2561884,2365814,1283798,3649612,87,54
2021-07-15,1851429,1372959,3224388,2142072,1317199,3459271,74,61
2021-07-16,1318171,1017869,2336040,2284519,1266920,3551439,77,55
2021-07-19,1656890,1413081,3069971,2303714,1294057,3597771,85,56
2021-07-20,1117480,973318,2090798,2343676,1308908,3652584,87,56
2021-07-21,1615742,1029235,2644977,2289989,1333480,3623469,64,58
2021-07-22,1255921,856638,2112559,2206219,1350556,3556775,68,61
2021-07-23,1505831,1203466,2709297,2335719,1264312,3600031,80,54
2021-07-26,2713264,2399443,5112707,2496183,1152386,3648569,88,46
2021-07-27,2095495,2020034,4115529,2611076,1100488,3711564,96,42
2021-07-28,2179836,2045477,4225313,1618848,930309,2549157,94,57
2021-07-29,1237069,996738,2233807,1725268,1022210,2747478,81,59
2021-07-30,1207104,1225658,2432762,1827927,1048549,2876476,102,57
2021-08-02,1963028,1572520,3535548,1762706,1115853,2878559,80,63
2021-08-03,1181784,1018325,2200109,1763480,1196914,2960394,86,68
2021-08-04,959804,844196,1804000,1774464,1241558,3016022,88,70
2021-08-05,1184269,1121387,2305656,1788729,1302133,3090862,95,73
2021-08-06,911488,892527,1804015,1890925,1240186,3131111,98,66
2021-08-09,1492058,1233598,2725656,1857958,1331813,3189771,83,72
2021-08-10,1895863,1521186,3417049,1767834,1446507,3214341,80,82
2021-08-11,1306109,1077645,2383754,1840188,1434385,3274573,83,78
2021-08-12,1083925,984360,2068285,2016570,1403357,3419927,91,70
2021-08-13,1351671,1157743,2509414,2101211,1390112,3491323,86,66
2021-08-16,1225479,1025580,2251059,2089194,1430711,3519905,84,68
2021-08-17,1984027,1889394,3873421,2244720,1315850,3560570,95,59
2021-08-18,1765936,1595831,3361767,2144287,1360246,3504533,90,63
2021-08-19,1623387,1652623,3276010,2253634,1338606,3592240,102,59
2021-08-20,2336696,2445372,4782068,2488103,1236577,3724680,105,50
2021-08-23,1528437,1278181,2806618,2317744,1228373,3546117,84,53
2021-08-24,1919234,1506092,3425326,2174232,1296592,3470824,78,60
2021-08-25,1346896,1122212,2469108,1364900,958714,2323614,83,70
2021-08-26,1242461,1202034,2444495,1689385,1003658,2693043,97,59
2021-08-27,1205490,1191124,2396614,1680975,1095962,2776937,99,65
2021-08-30,1249401,1223830,2473231,1854270,1120435,2974705,98,60
2021-08-31,1477722,1418885,2896607,2018514,1129336,3147850,96,56
2021-09-01,2501616,1899128,4400744,1880805,1283972,3164777,76,68
2021-09-02,1349732,937010,2286742,1948473,1361408,3309881,69,70
2021-09-03,1898692,1354650,3253342,1926252,1412606,3338858,71,73
2021-09-06,1505122,1227779,2732901,1885135,1534354,3419489,82,81
2021-09-07,1673769,1426579,3100348,1830996,1601854,3432850,85,87
2021-09-08,1300668,1109354,2410022,1996825,1572941,3569766,85,79
2021-09-09,1093374,929436,2022810,2043720,1561747,3605467,85,76
2021-09-10,1972242,1470777,3443019,1894143,1665588,3559731,75,88
2021-09-13,1340805,1152067,2492872,1961280,1657042,3618322,86,84
2021-09-14,1882635,1610297,3492932,2054334,1553782,3608116,86,76
2021-09-15,1850163,1790203,3640366,2169326,1414254,3583580,97,65
2021-09-16,2008826,1728596,3737422,2105864,1295455,3401319,86,62
2021-09-17,1975581,1549371,3524952,1970611,1263448,3234059,78,64
2021-09-22,1327203,1386048,2713251,1118655,839838,1958493,104,75
2021-09-23,1078194,886632,1964826,1268577,946739,2215316,82,75
2021-09-24,1081879,870459,1952338,1267244,1009483,2276727,80,80
2021-09-27,1522831,1255227,2778058,1202065,1065738,2267803,82,89
2021-09-28,1055761,847718,1903479,1234080,1125789,2359869,80,91
2021-09-29,1481424,1327831,2809255,1299724,1137021,2436745,90,87
2021-09-30,989941,815742,1805683,1360650,1138076,2498726,82,84
2021-10-08,1461207,1301583,2762790,1318837,1284579,2603416,89,97
2021-10-11,1290237,1152202,2442439,1342186,1361501,2703687,89,101
2021-10-12,1334392,1278539,2612931,1407770,1295718,2703488,96,92
2021-10-13,1306214,1147598,2453812,1366831,1390340,2757171,88,102
2021-10-14,1051541,909185,1960726,1417813,1372169,2789982,86,97
2021-10-15,1205581,984260,2189841,1394019,1458074,2852093,82,105
2021-10-18,1571126,1507015,3078141,1634125,1356484,2990609,96,83
2021-10-19,1059995,948321,2008316,1533529,1377710,2911239,89,90
2021-10-20,1056679,931367,1988046,1588193,1383149,2971342,88,87
2021-10-21,1603136,1325709,2928845,1550026,1439161,2989187,83,93
2021-10-22,1931543,1624670,3556213,1498523,1584492,3083015,84,106
2021-10-25,1209766,1037183,2246949,1509428,1482104,2991532,86,98
2021-10-26,1531107,1202919,2734026,1564148,1424428,2988576,79,91
2021-10-27,1514540,1482740,2997280,1231778,872472,2104250,98,71
2021-10-28,908386,791920,1700306,1366239,955946,2322185,87,70
2021-10-29,811538,621584,1433122,1385162,996592,2381754,77,72
2021-11-01,767324,722345,1489669,1450526,1046005,2496531,94,72
2021-11-02,1530265,1337828,2868093,1656745,1092303,2749048,87,66
2021-11-03,998617,899385,1898002,1797196,1149570,2946766,90,64
2021-11-04,777334,681969,1459303,1769377,1170120,2939497,88,66
2021-11-05,910865,813681,1724546,1731919,1184984,2916903,89,68
2021-11-08,789668,683705,1473373,1839431,1197806,3037237,87,65
2021-11-09,936766,721605,1658371,1944668,1217966,3162634,77,63
2021-11-10,1502964,1247735,2750699,2029839,1220903,3250742,83,60
2021-11-11,1539090,1195613,2734703,1744445,1272308,3016753,78,73
2021-11-12,846394,683049,1529443,1810797,1268873,3079670,81,70
2021-11-15,833562,658456,1492018,1872423,1268722,3141145,79,68
2021-11-16,1077438,885803,1963241,1858332,1274309,3132641,82,69
2021-11-17,939741,777136,1716877,1930024,1258640,3188664,83,65
2021-11-18,1214088,1024790,2238878,1990409,1244168,3234577,84,63
2021-11-19,1657905,1232482,2890387,1826343,1219213,3045556,74,67
2021-11-22,998937,741061,1739998,1758257,1202747,2961004,74,68
2021-11-23,1048867,864510,1913377,1689644,1218681,2908325,82,72
2021-11-24,1037126,938028,1975154,1073866,869823,1943689,90,81
2021-11-25,708718,669150,1377868,1213577,941732,2155309,94,78
2021-11-26,826035,801123,1627158,1397220,973113,2370333,97,70
2021-11-29,864255,810571,1674826,1520254,1062567,2582821,94,70
2021-11-30,929056,830043,1759099,1637590,1100739,2738329,89,67
2021-12-01,644126,551499,1195625,1642152,1128758,2770910,86,69
2021-12-02,803511,713429,1516940,1622202,1157336,2779538,89,71
2021-12-03,1096327,929203,2025530,1576829,1206023,2782852,85,76
2021-12-06,1228244,982688,2210932,1547828,1293991,2841819,80,84
2021-12-07,1170962,945211,2116173,1563550,1380919,2944469,81,88
2021-12-08,1804329,1404570,3208899,1522780,1522526,3045306,78,100
2021-12-09,3115634,2116448,5232082,1541279,1658551,3199830,68,108
2021-12-10,1356081,1009469,2365550,1586280,1636373,3222653,74,103
2021-12-13,2333676,1644116,3977792,1630002,1685667,3315669,70,103
2021-12-14,1310812,1095829,2406641,1703503,1655095,3358598,84,97
2021-12-15,1445910,1199880,2645790,1779063,1589295,3368358,83,89
2021-12-16,1306154,1099360,2405514,1836944,1596033,3432977,84,87
2021-12-17,1668961,1594084,3263045,1931721,1515817,3447538,96,78
2021-12-20,1572545,1447938,3020483,1996201,1430116,3426317,92,72
2021-12-21,1206226,1090622,2296848,1973056,1416923,3389979,90,72
2021-12-22,1139630,1129104,2268734,1263829,957364,2221193,99,76
2021-12-23,961969,835019,1796988,1373138,1048458,2421596,87,76
2021-12-24,710967,660015,1370982,1419089,1083756,2502845,93,76
2021-12-27,644613,621213,1265826,1489633,1111271,2600904,96,75
2021-12-28,847420,720694,1568114,1513328,1157163,2670491,85,76
2021-12-29,1151240,1052162,2203402,1743627,1186590,2930217,91,68
2021-12-30,845518,751449,1596967,1759407,1201326,2960733,89,68
2021-12-31,694421,576300,1270721,1791627,1229030,3020657,83,69
2022-01-04,1133972,953637,2087609,1889520,1254947,3144467,84,66
2022-01-05,1142278,978867,2121145,1936609,1265668,3202277,86,65
2022-01-06,1371495,1269721,2641216,2135541,1307510,3443051,93,61
2022-01-07,921348,779861,1701209,2136976,1314572,3451548,85,62
2022-01-10,849221,765104,1614325,2158180,1335527,3493707,90,62
2022-01-11,1028886,882190,1911076,2196284,1344407,3540691,86,61
2022-01-12,833227,716178,1549405,2159053,1369846,3528899,86,63
2022-01-13,1371694,1185579,2557273,2283203,1354972,3638175,86,59
2022-01-14,1540718,1477580,3018298,2392906,1352712,3745618,96,57
2022-01-17,1080842,957899,2038741,2367003,1334033,3701036,89,56
2022-01-18,1426731,1135741,2562472,2209504,1358590,3568094,80,61
2022-01-19,1051847,950972,2002819,2184884,1366399,3551283,90,63
2022-01-20,2042922,1622204,3665126,2021788,1422970,3444758,79,70
2022-01-21,1249079,1078333,2327412,2088678,1366792,3455470,86,65
2022-01-24,1297316,1141485,2438801,2044439,1321656,3366095,88,65
2022-01-25,1609056,1501475,3110531,2124288,1243964,3368252,93,59
2022-01-26,1338075,1294181,2632256,1158374,957618,2115992,97,83
2022-01-27,1096669,1101232,2197901,1352997,1045776,2398773,100,77
2022-01-28,1442997,1400089,2843086,1554493,1076064,2630557,97,69
2022-02-07,1155456,1019000,2174456,1598871,1119879,2718750,88,70
2022-02-08,1234201,1059313,2293514,1670754,1163636,2834390,86,70
2022-02-09,976389,825770,1802159,1648092,1216373,2864465,85,74
2022-02-10,685929,619966,1305895,1651103,1221158,2872261,90,74
2022-02-11,1218101,998892,2216993,1659326,1260562,2919888,82,76
2022-02-14,1089380,1132644,2222024,1775277,1224229,2999506,104,69
2022-02-15,759924,802421,1562345,1782725,1292886,3075611,106,73
2022-02-16,909347,742885,1652232,1755608,1335231,3090839,82,76
2022-02-17,935395,946830,1882225,1693819,1401756,3095575,101,83
2022-02-18,922923,917387,1840310,1674595,1426029,3100624,99,85
2022-02-21,1020683,912500,1933183,1722104,1337630,3059734,89,78
2022-02-22,1276975,1230345,2507320,1782151,1283813,3065964,96,72
2022-02-23,1000219,864366,1864585,1136151,981646,2117797,86,86
2022-02-24,1277198,1444619,2721817,1394065,1070239,2464304,113,77
2022-02-25,910783,965465,1876248,1397763,1096290,2494053,106,78
2022-02-28,705598,692198,1397796,1458172,1144844,2603016,98,79
2022-03-01,977894,891377,1869271,1398142,1257215,2655357,91,90
2022-03-02,564392,588671,1153063,1448489,1253505,2701994,104,87
2022-03-03,773717,706667,1480384,1545143,1269425,2814568,91,82
2022-03-04,1066366,1022813,2089179,1702951,1257818,2960769,96,74
2022-03-07,1699211,1565566,3264777,2069950,1235013,3304963,92,60
2022-03-08,1879819,2011293,3891112,2193326,1210369,3403695,107,55
2022-03-09,2364571,2542992,4907563,2315209,1182105,3497314,108,51
2022-03-10,1504730,1285480,2790210,2225483,1209913,3435396,85,54
2022-03-11,2279071,2168332,4447403,2217109,1218283,3435392,95,55
2022-03-14,1653398,1710112,3363510,2385748,1216007,3601755,103,51
2022-03-15,2895351,2812020,5707371,2527258,1087257,3614515,97,43
2022-03-16,3121998,2605274,5727272,2344554,1134629,3479183,83,48
2022-03-17,2494832,1888550,4383382,2169909,1242643,3412552,76,57
2022-03-18,2161117,1720690,3881807,2048963,1275040,3324003,80,62
2022-03-21,1517903,1523182,3041085,2022120,1147727,3169847,100,57
2022-03-22,1469804,1336409,2806213,1990827,1202008,3192835,91,60
2022-03-23,1349094,1262926,2612020,1069772,910304,1980076,94,85
2022-03-24,849223,859590,1708813,1167865,1001819,2169684,101,86
2022-03-25,1072432,1166388,2238820,1311994,992703,2304697,109,76
2022-03-28,1174283,1363351,2537634,1373139,1038470,2411609,116,76
2022-03-29,770322,734993,1505315,1416139,1056186,2472325,95,75
2022-03-30,1274554,1179335,2453889,1335481,1158473,2493954,93,87
2022-03-31,722143,608588,1330731,1393278,1165219,2558497,84,84
2022-04-01,1410317,1194273,2604590,1358405,1217376,2575781,85,90
2022-04-06,1041311,926115,1967426,1464191,1248563,2712754,89,85
2022-04-07,1018497,1058580,2077077,1523743,1239793,2763536,104,81
2022-04-08,887992,913095,1801087,1507090,1282014,2789104,103,85
2022-04-11,1365327,1506965,2872292,1743326,1217728,2961054,110,70
2022-04-12,1376548,1241726,2618274,1654284,1235897,2890181,90,75
2022-04-13,928984,873410,1802394,1640946,1291046,2931992,94,79
2022-04-14,1445294,1328585,2773879,1578898,1399276,2978174,92,89
2022-04-15,1065811,934222,2000033,1631670,1427004,3058674,88,87
2022-04-18,1281197,1303596,2584793,1804752,1335116,3139868,102,74
2022-04-19,1313685,1212655,2526340,1922548,1329399,3251947,92,69
2022-04-20,1429219,1325247,2754466,2001052,1314855,3315907,93,66
2022-04-21,2049086,1875474,3924560,2098706,1255449,3354155,92,60
2022-04-22,1600237,1416785,3017022,1937350,1261233,3198583,89,65
2022-04-25,2345137,2304093,4649230,2125513,1132708,3258221,98,53
2022-04-26,2109747,2029836,4139583,2136265,1130214,3266479,96,53
2022-04-27,1684641,1419560,3104201,1345876,915570,2261446,84,68
2022-04-28,1092908,1049444,2142352,1387494,998968,2386462,96,72
2022-04-29,1428338,1254740,2683078,1393288,1044889,2438177,88,75
2022-05-05,787976,761032,1549008,1454027,1103433,2557460,97,76
2022-05-06,1194696,1263270,2457966,1641519,1076508,2718027,106,66
2022-05-09,994963,979077,1974040,1806027,1096801,2902828,98,61
2022-05-10,1422134,1338273,2760407,1777622,1118680,2896302,94,63
2022-05-11,1267604,1052567,2320171,1684955,1178532,2863487,83,70
2022-05-12,838101,850574,1688675,1746394,1187498,2933892,101,68
2022-05-13,1020429,858108,1878537,1704921,1223205,2928126,84,72
2022-05-16,1122259,1013308,2135567,1774501,1200939,2975440,90,68
2022-05-17,1018064,1005499,2023563,1678292,1255595,2933887,99,75
2022-05-18,1098123,1090288,2188411,1685632,1255220,2940852,99,74
2022-05-19,1119460,1093520,2212980,1654304,1263069,2917373,98,76
2022-05-20,1910655,1598031,3508686,1530559,1314245,2844804,84,86
2022-05-23,1291994,1127534,2419528,1624196,1220979,2845175,87,75
2022-05-24,1238095,1097272,2335367,1707875,1152154,2860029,89,67
2022-05-25,1005233,898145,1903378,1192787,839863,2032650,89,70
2022-05-26,1075417,909380,1984797,1311762,912359,2224121,85,70
2022-05-27,1034230,851868,1886098,1290462,969272,2259734,82,75
2022-05-30,732976,709202,1442178,1292264,1037719,2329983,97,80
2022-05-31,1182716,1040546,2223262,1267506,1144062,2411568,88,90
2022-06-01,705532,742113,1447645,1319783,1138619,2458402,105,86
2022-06-02,648673,731186,1379859,1339963,1147500,2487463,113,86
2022-06-06,1308893,1171078,2479971,1349321,1256508,2605829,89,93
2022-06-07,1443314,1047035,2490349,1343365,1355997,2699362,73,101
2022-06-08,1575314,1221975,2797289,1336496,1448459,2784955,78,108
2022-06-09,1210604,1025042,2235646,1372736,1465097,2837833,85,107
2022-06-10,1415634,1336922,2752556,1344144,1447247,2791391,94,108
2022-06-13,1346681,1376860,2723541,1423853,1299067,2722920,102,91
2022-06-14,1747837,1693892,3441729,1432960,1310622,2743582,97,91
2022-06-15,3332081,2120543,5452624,1336751,1468600,2805351,64,110
2022-06-16,1617200,1444258,3061458,1409985,1379069,2789054,89,98
2022-06-17,2124300,1726010,3850310,1376192,1445293,2821485,81,105
2022-06-20,1794103,1590375,3384478,1350927,1389826,2740753,89,103
2022-06-21,1616611,1480021,3096632,1321590,1377240,2698830,92,104
2022-06-22,1208754,1154269,2363023,844797,773416,1618213,95,92
2022-06-23,1084126,996586,2080712,914745,907916,1822661,92,99
2022-06-24,1365354,1133011,2498365,941960,1046901,1988861,83,111
2022-06-27,1647598,1306059,2953657,1000742,1171145,2171887,79,117
2022-06-28,1009234,896777,1906011,1024529,1227873,2252402,89,120
2022-06-29,1106228,998315,2104543,1077833,1218278,2296111,90,113
2022-06-30,1737458,1333360,3070818,1074266,1335137,2409403,77,124
2022-07-01,1024644,813438,1838082,1164512,1320187,2484699,79,113
2022-07-04,905611,798668,1704279,1209264,1338495,2547759,88,111
2022-07-05,1311182,993353,2304535,1249482,1353839,2603321,76,108
2022-07-06,1283055,1226712,2509767,1353697,1275404,2629101,96,94
2022-07-07,856984,929150,1786134,1362193,1310061,2672254,108,96
2022-07-08,956877,911333,1868210,1344106,1315846,2659952,95,98
2022-07-11,1195230,1184394,2379624,1457883,1255737,2713620,99,86
2022-07-12,1056880,967458,2024338,1526472,1235782,2762254,92,81
2022-07-13,1012925,983349,1996274,1562073,1240482,2802555,97,79
2022-07-14,1259193,1204532,2463725,1607984,1215075,2823059,96,76
2022-07-15,1608336,1492269,3100605,1711573,1163507,2875080,93,68
2022-07-18,1362765,1271715,2634480,1634620,1230222,2864842,93,75
2022-07-19,1262994,1113465,2376459,1692143,1200572,2892715,88,71
2022-07-20,1018084,834502,1852586,1656472,1236172,2892644,82,75
2022-07-21,1013158,1016854,2030012,1696158,1186071,2882229,100,70
2022-07-22,1533534,1555643,3089177,1648038,1177837,2825875,101,71
2022-07-25,1041292,992515,2033807,1645448,1155183,2800631,95,70
2022-07-26,1021976,940158,1962134,1625453,1163753,2789206,92,72
2022-07-27,1019336,941284,1960620,1053294,793781,1847075,92,75
2022-07-28,1021351,814666,1836017,1198195,871314,2069509,80,73
2022-07-29,1353185,1206949,2560134,1336657,927155,2263812,89,69
2022-08-01,847830,821654,1669484,1391334,932985,2324319,97,67
2022-08-02,1364746,1440510,2805256,1484961,942165,2427126,106,63
2022-08-03,1103239,1149249,2252488,1534829,956298,2491127,104,62
2022-08-04,953066,922742,1875808,1541723,1014834,2556557,97,66
2022-08-05,1005394,969272,1974666,1475832,1037571,2513403,96,70
2022-08-08,636463,573096,1209559,1563170,1050043,2613213,90,67
2022-08-09,516173,467854,984027,1562790,1069038,2631828,91,68
2022-08-10,1004545,868183,1872728,1643357,1039975,2683332,86,63
2022-08-11,1328563,1023139,2351702,1521130,1133107,2654237,77,74
2022-08-12,868414,681522,1549936,1541186,1138698,2679884,78,74
2022-08-15,985290,787922,1773212,1613474,1120935,2734409,80,69
2022-08-16,935553,748496,1684049,1672779,1124236,2797015,80,67
2022-08-17,1292470,1000720,2293190,1648961,1143482,2792443,77,69
2022-08-18,996456,822199,1818655,1763238,1112376,2875614,83,63
2022-08-19,1131249,765591,1896840,1717194,1100230,2817424,68,64
2022-08-22,983788,796265,1780053,1657074,1061574,2718648,81,64
2022-08-23,1154057,958785,2112842,1713799,1024454,2738253,83,60
2022-08-24,1221933,1119830,2341763,1074995,765847,1840842,92,71
2022-08-25,991160,806608,1797768,1077397,841707,1919104,81,78
2022-08-26,623531,523045,1146576,1115675,876800,1992475,84,79
2022-08-29,582111,602202,1184313,1204907,905211,2110118,103,75
2022-08-30,725827,617929,1343756,1273704,930443,2204147,85,73
2022-08-31,1206262,1007192,2213454,1229338,968784,2198122,83,79
2022-09-01,740927,628332,1369259,1321895,989824,2311719,85,75
2022-09-02,1002736,935012,1937748,1488964,1032118,2521082,93,69
2022-09-05,868388,760485,1628873,1575909,1043485,2619394,88,66
2022-09-06,770428,642404,1412832,1543340,1050730,2594070,83,68
2022-09-07,550640,523784,1074424,1586387,1080581,2666968,95,68
2022-09-08,626319,448902,1075221,1612515,1092318,2704833,72,68
2022-09-09,1273471,973881,2247352,1459722,1157736,2617458,76,79
2022-09-13,956647,774652,1731299,1451803,1212366,2664169,81,84
2022-09-14,853733,826729,1680462,1539943,1187059,2727002,97,77
2022-09-15,1255637,1162224,2417861,1599103,1194523,2793626,93,75
2022-09-16,1448966,1363651,2812617,1823438,1160726,2984164,94,64
2022-09-19,992789,815341,1808130,1839093,1143587,2982680,82,62
2022-09-20,806753,607501,1414254,1814123,1147058,2961181,75,63
2022-09-21,1176500,1004160,2180660,1896967,1144011,3040978,85,60
2022-09-22,1132424,999674,2132098,1935478,1118401,3053879,88,58
2022-09-23,1288302,1125906,2414208,1892536,1111379,3003915,87,59
2022-09-26,1111653,1078474,2190127,1863401,1033299,2896700,97,55
2022-09-27,1112077,1018042,2130119,1824431,1029646,2854077,92,56
2022-09-28,1002418,951335,1953753,1050911,726677,1777588,95,69
2022-09-29,911448,791888,1703336,1127116,770588,1897704,87,68
2022-09-30,830557,739803,1570360,1167833,793504,1961337,89,68
2022-10-10,1404845,1047403,2452248,1413996,833902,2247898,75,59
2022-10-11,832125,762105,1594230,1497635,871400,2369035,92,58
2022-10-12,1737818,1576964,3314782,1553461,886531,2439992,91,57
2022-10-13,977471,831858,1809329,1628333,912093,2540426,85,56
2022-10-14,1604340,1130614,2734954,1474435,959955,2434390,70,65
2022-10-17,848484,660908,1509392,1496520,970444,2466964,78,65
2022-10-18,1048195,791685,1839880,1555674,969401,2525075,76,62
2022-10-19,1381782,1089637,2471419,1703556,942401,2645957,79,55
2022-10-20,1651068,1315058,2966126,1781200,933830,2715030,80,52
2022-10-21,1204450,955943,2160393,1827786,946454,2774240,79,52
2022-10-24,2264360,1991581,4255941,1902787,844384,2747171,88,44
2022-10-25,1607792,1466694,3074486,1929810,856050,2785860,91,44
2022-10-26,1483863,1346488,2830351,1219692,727291,1946983,91,60
2022-10-27,1070939,924410,1995349,1355691,778431,2134122,86,57
2022-10-28,1361705,1335041,2696746,1505194,823285,2328479,98,55
2022-10-31,1211958,1218004,2429962,1631677,854869,2486546,100,52
2022-11-01,1764199,1262395,3026594,1523963,945708,2469671,72,62
2022-11-02,1499264,1135639,2634903,1456537,986745,2443282,76,68
2022-11-03,942632,839283,1781915,1594105,958633,2552738,89,60
2022-11-04,2079057,1334604,3413661,1381470,1053522,2434992,64,76
2022-11-07,1507385,982405,2489790,1432050,1089698,2521748,65,76
2022-11-08,1042531,806110,1848641,1541379,1060791,2602170,77,69
2022-11-09,968665,696969,1665634,1642285,1059019,2701304,72,64
2022-11-10,1199334,941954,2141288,1676950,1073158,2750108,79,64
2022-11-11,2773627,1704289,4477916,1432425,1149620,2582045,61,80
2022-11-14,2026688,1508583,3535271,1362870,1223561,2586431,74,90
2022-11-15,2045025,1618222,3663247,1326648,1318194,2644842,79,99
2022-11-16,1176201,1011061,2187262,1371211,1312411,2683622,86,96
2022-11-17,1412204,1239577,2651781,1478270,1187360,2665630,88,80
2022-11-18,1296058,1015445,2311503,1498261,1192432,2690693,78,80
2022-11-21,1548829,1374899,2923728,1500173,1093054,2593227,89,73
2022-11-22,1729303,1259591,2988894,1486675,1114225,2600900,73,75
2022-11-23,1386905,1158714,2545619,1069823,732205,1802028,84,68
2022-11-24,865679,706314,1571993,1223793,788534,2012327,82,64
2022-11-25,898496,767601,1666097,1192109,859058,2051167,85,72
2022-11-28,1406111,1424797,2830908,1318611,843712,2162323,101,64
2022-11-29,1996463,1520633,3517096,1133841,1006352,2140193,76,89
2022-11-30,951119,727013,1678132,1182682,1063800,2246482,76,90
2022-12-01,1638610,1063608,2702218,1194652,1142766,2337418,65,96
2022-12-02,856358,780521,1636879,1280338,1102480,2382818,91,86
2022-12-05,1335723,1147363,2483086,1252647,1173055,2425702,86,94
2022-12-06,1371446,1122965,2494411,1230341,1251140,2481481,82,102
2022-12-07,1357171,1194106,2551277,1265661,1255540,2521201,88,99
2022-12-08,856064,697458,1553522,1294275,1279995,2574270,81,99
2022-12-09,1332426,1219930,2552356,1298543,1364998,2663541,92,105
2022-12-12,883292,814096,1697388,1336657,1293731,2630388,92,97
2022-12-13,705936,666081,1372017,1346521,1309363,2655884,94,97
2022-12-14,1061213,885328,1946541,1365062,1332323,2697385,83,98
2022-12-15,970614,885685,1856299,1398592,1329911,2728503,91,95
2022-12-16,978768,836231,1814999,1409233,1328055,2737288,85,94
2022-12-19,1285080,1188530,2473610,1485107,1222579,2707686,92,82
2022-12-20,1564544,1681535,3246079,1632226,1128357,2760583,107,69
2022-12-21,991042,940523,1931565,1564660,1157623,2722283,95,74
2022-12-22,1358736,1174347,2533083,1488340,1205446,2693786,86,81
2022-12-23,972373,1060121,2032494,1489661,1199233,2688894,109,81
2022-12-26,840144,800993,1641137,1423259,1107552,2530811,95,78
2022-12-27,1034317,973644,2007961,1365309,1114513,2479822,94,82
2022-12-28,853102,816512,1669614,719222,695717,1414939,96,97
2022-12-29,744092,748269,1492361,834868,725362,1560230,101,87
2022-12-30,698002,639692,1337694,864994,793650,1658644,92,92
2023-01-03,985368,894797,1880165,898542,835941,1734483,91,93
2023-01-04,669798,626264,1296062,900908,889125,1790033,94,99
2023-01-05,1272065,1180754,2452819,845669,1040433,1886102,93,123
2023-01-06,883219,841680,1724899,840097,1113352,1953449,95,133
2023-01-09,994943,829091,1824034,846076,1196094,2042170,83,141
2023-01-10,774924,660508,1435432,878813,1228817,2107630,85,140
2023-01-11,980987,874742,1855729,891638,1269709,2161347,89,142
2023-01-12,687993,690048,1378041,913002,1257013,2170015,100,138
2023-01-13,1168857,1283698,2452555,863013,1282726,2145739,110,149
2023-01-16,2446115,1895932,4342047,882266,1322943,2205209,78,150
2023-01-17,1041747,964959,2006706,939577,1288065,2227642,93,137
2023-01-18,1035471,991121,2026592,956515,1272164,2228679,96,133
2023-01-19,1252803,1207870,2460673,946147,1190278,2136425,96,126
2023-01-20,1263311,1009891,2273202,927953,1169021,2096974,80,126
2023-01-30,1424086,1071403,2495489,775048,818143,1593191,75,106
2023-01-31,916143,964963,1881106,889224,890657,1779881,105,100
2023-02-01,1151748,1212057,2363805,965552,939747,1905299,105,97
2023-02-02,889629,825135,1714764,998083,985361,1983444,93,99
2023-02-03,1176547,1287346,2463893,1091621,974185,2065806,109,89
2023-02-06,1161871,1297521,2459392,1213045,971400,2184445,112,80
2023-02-07,861851,895084,1756935,1209568,1004180,2213748,104,83
2023-02-08,734042,781346,1515388,1221744,1033001,2254745,106,85
2023-02-09,1090559,1093236,2183795,1200349,1036363,2236712,100,86
2023-02-10,767227,725560,1492787,1245928,1030073,2276001,95,83
2023-02-13,1051515,1053199,2104714,1210682,1082613,2293295,100,89
2023-02-14,677246,686176,1363422,1210897,1095323,2306220,101,90
2023-02-15,997486,969687,1967173,1259662,1096115,2355777,97,87
2023-02-16,1707716,1627771,3335487,1222771,1090518,2313289,95,89
2023-02-17,1261495,1388583,2650078,1260761,1061073,2321834,110,84
2023-02-20,1769307,1734714,3504021,1126856,1124569,2251425,98,100
2023-02-21,1304736,1167717,2472453,1129575,1179766,2309341,89,104
2023-02-22,1196907,1151886,2348793,774026,825685,1599711,96,107
2023-02-23,961674,915399,1877073,875061,872153,1747214,95,100
2023-02-24,1088019,1261104,2349123,1005938,888339,1894277,116,88
2023-02-27,748424,831342,1579766,1049424,920647,1970071,111,88
2023-02-28,950768,994208,1944976,1100367,937494,2037861,105,85
2023-03-01,1406519,1224469,2630988,1036855,1012502,2049357,87,98
2023-03-02,681543,615611,1297154,1058030,1051647,2109677,90,99
2023-03-03,835571,730637,1566208,1084979,1064866,2149845,87,98
2023-03-06,1010538,965554,1976092,1170648,1025017,2195665,96,88
2023-03-07,1372698,1272782,2645480,1195831,980463,2176294,93,82
2023-03-08,933637,965254,1898891,1310196,962237,2272433,103,73
2023-03-09,1059493,960204,2019697,1410762,955195,2365957,91,68
2023-03-10,1317824,1371623,2689447,1516657,986079,2502736,104,65
