,沪深300,沪深300,沪深300,沪深300,沪深300,沪深300,沪深300,沪深300
,C成交量,P成交量,总成交量,C持仓量,P持仓量,总持仓量,P/C成交,P/C持仓
2019-12-23,275182,193530,468712,107629,73071,180700,70,68
2019-12-24,186105,141566,327671,161726,118991,280717,76,74
2019-12-25,275320,229629,504949,227329,175600,402929,83,77
2019-12-26,329510,283556,613066,280215,228595,508810,86,82
2019-12-27,553764,436734,990498,327580,282926,610506,79,86
2019-12-30,586894,416133,1003027,355864,322106,677970,71,91
2019-12-31,553301,321510,874811,404268,367089,771357,58,91
2020-01-02,940706,551573,1492279,459561,409695,869256,59,89
2020-01-03,531635,322534,854169,500582,456511,957093,61,91
2020-01-06,809849,503226,1313075,571229,481103,1052332,62,84
2020-01-07,709704,410570,1120274,620525,525093,1145618,58,85
2020-01-08,713167,530639,1243806,693172,538580,1231752,74,78
2020-01-09,659457,439720,1099177,701716,565258,1266974,67,81
2020-01-10,560440,368140,928580,709397,583223,1292620,66,82
2020-01-13,705374,513888,1219262,688550,606606,1295156,73,88
2020-01-14,763484,500938,1264422,707547,636705,1344252,66,90
2020-01-15,697756,517880,1215636,750645,626760,1377405,74,83
2020-01-16,650732,432253,1082985,753321,632599,1385920,66,84
2020-01-17,653170,425332,1078502,749828,620239,1370067,65,83
2020-01-20,580464,462687,1043151,741998,629966,1371964,80,85
2020-01-21,800156,664348,1464504,810407,598440,1408847,83,74
2020-01-22,994402,833048,1827450,650547,486530,1137077,84,75
2020-01-23,1016420,1006598,2023018,770669,516790,1287459,99,67
2020-02-03,1101729,989039,2090768,806309,451171,1257480,90,56
2020-02-04,1107155,894836,2001991,879571,551544,1431115,81,63
2020-02-05,1004932,952485,1957417,909347,661765,1571112,95,73
2020-02-06,1359225,1093036,2452261,881426,752137,1633563,80,85
2020-02-07,906152,857717,1763869,922244,739034,1661278,95,80
2020-02-10,821454,886163,1707617,963706,795906,1759612,108,83
2020-02-11,932322,917802,1850124,952062,868936,1820998,98,91
2020-02-12,672100,737011,1409111,952599,907524,1860123,110,95
2020-02-13,800064,893923,1693987,975957,951688,1927645,112,98
2020-02-14,834742,915452,1750194,944194,975082,1919276,110,103
2020-02-17,1411621,1235094,2646715,891697,1033533,1925230,87,116
2020-02-18,1043878,1019076,2062954,937522,1023638,1961160,98,109
2020-02-19,1026069,899578,1925647,960555,1067711,2028266,88,111
2020-02-20,1720703,1428043,3148746,849687,1137304,1986991,83,134
2020-02-21,1693068,1242185,2935253,875250,1157271,2032521,73,132
2020-02-24,1259523,1233501,2493024,892430,1114673,2007103,98,125
2020-02-25,1414246,1741069,3155315,911282,1048072,1959354,123,115
2020-02-26,1257780,1446508,2704288,706284,707341,1413625,115,100
2020-02-27,872393,837417,1709810,777092,778100,1555192,96,100
2020-02-28,1555280,1963018,3518298,870087,768027,1638114,126,88
2020-03-02,1504707,1297554,2802261,807090,857128,1664218,86,106
2020-03-03,1354040,1039134,2393174,856273,927115,1783388,77,108
2020-03-04,902368,935203,1837571,875530,953602,1829132,104,109
2020-03-05,1609063,1287847,2896910,814538,1034379,1848917,80,127
2020-03-06,913849,1007393,1921242,881998,969936,1851934,110,110
2020-03-09,1320045,1647570,2967615,920198,885663,1805861,125,96
2020-03-10,1512950,1479466,2992416,980809,906942,1887751,98,92
2020-03-11,971073,958841,1929914,996601,940001,1936602,99,94
2020-03-12,1204235,1617656,2821891,1085449,949794,2035243,134,88
2020-03-13,1744233,1995824,3740057,1136034,898022,2034056,114,79
2020-03-16,1418819,1626621,3045440,1194601,880012,2074613,115,74
2020-03-17,1571877,1642950,3214827,1336983,833150,2170133,105,62
2020-03-18,1752545,1569433,3321978,1239317,817831,2057148,90,66
2020-03-19,1787595,1889992,3677587,1311299,786187,2097486,106,60
2020-03-20,1410648,1259676,2670324,1265636,799787,2065423,89,63
2020-03-23,1158907,1259469,2418376,1266763,752112,2018875,109,59
2020-03-24,1331375,1122899,2454274,1272850,745101,2017951,84,59
2020-03-25,1271014,922092,2193106,777802,589503,1367305,73,76
2020-03-26,735291,665574,1400865,842174,646295,1488469,91,77
2020-03-27,811449,675852,1487301,876054,685837,1561891,83,78
2020-03-30,713987,747187,1461174,923644,706330,1629974,105,76
2020-03-31,713320,590602,1303922,955146,733017,1688163,83,77
2020-04-01,821959,744236,1566195,958383,763633,1722016,91,80
2020-04-02,769084,680246,1449330,991877,794029,1785906,88,80
2020-04-03,657023,627337,1284360,1016115,847956,1864071,95,83
2020-04-07,771838,763262,1535100,1011447,876006,1887453,99,87
2020-04-08,582363,550361,1132724,1028701,880869,1909570,95,86
2020-04-09,578792,544877,1123669,1028398,899572,1927970,94,87
2020-04-10,888733,894866,1783599,1043025,887026,1930051,101,85
2020-04-13,615147,565849,1180996,1054808,887292,1942100,92,84
2020-04-14,772530,699490,1472020,1034305,929573,1963878,91,90
2020-04-15,648075,558065,1206140,1056741,932089,1988830,86,88
2020-04-16,662364,612457,1274821,1053313,946871,2000184,92,90
2020-04-17,1140104,928043,2068147,987558,943903,1931461,81,96
2020-04-20,609713,602920,1212633,961418,973294,1934712,99,101
2020-04-21,887997,810212,1698209,961571,928100,1889671,91,97
2020-04-22,716803,675829,1392632,647067,666281,1313348,94,103
2020-04-23,534303,501167,1035470,694376,716013,1410389,94,103
2020-04-24,442852,453421,896273,720061,716472,1436533,102,100
2020-04-27,574811,565590,1140401,740765,762929,1503694,98,103
2020-04-28,777920,801624,1579544,753211,821538,1574749,103,109
2020-04-29,552396,483811,1036207,760489,850450,1610939,88,112
2020-04-30,965105,680487,1645592,786851,892628,1679479,71,113
2020-05-06,782595,709336,1491931,811129,917795,1728924,91,113
2020-05-07,529976,486847,1016823,834101,921740,1755841,92,111
2020-05-08,848374,704124,1552498,845199,947525,1792724,83,112
2020-05-11,759355,640234,1399589,874419,943683,1818102,84,108
2020-05-12,596821,577389,1174210,902951,945448,1848399,97,105
2020-05-13,561020,529460,1090480,907610,965149,1872759,94,106
2020-05-14,638757,564745,1203502,931937,950770,1882707,88,102
2020-05-15,715238,571514,1286752,943321,930588,1873909,80,99
2020-05-18,796911,714196,1511107,919320,946641,1865961,90,103
2020-05-19,644036,507297,1151333,906645,973715,1880360,79,107
2020-05-20,553485,484069,1037554,921096,981818,1902914,87,107
2020-05-21,608552,582140,1190692,927202,975589,1902791,96,105
2020-05-22,1132638,1192172,2324810,977751,919672,1897423,105,94
2020-05-25,714618,714288,1428906,969223,924982,1894205,100,95
2020-05-26,611827,593483,1205310,933892,960812,1894704,97,103
2020-05-27,452223,560308,1012531,708715,747998,1456713,124,106
2020-05-28,838122,974631,1812753,764183,848200,1612383,116,111
2020-05-29,527896,630794,1158690,780466,913470,1693936,119,117
2020-06-01,969026,965835,1934861,767640,981878,1749518,100,128
2020-06-02,593755,555925,1149680,797398,1002151,1799549,94,126
2020-06-03,744152,640927,1385079,824350,1033633,1857983,86,125
2020-06-04,553134,461039,1014173,847200,1043887,1891087,83,123
2020-06-05,612979,565267,1178246,861928,1069051,1930979,92,124
2020-06-08,815389,713501,1528890,858463,1119053,1977516,88,130
2020-06-09,768081,689423,1457504,854476,1155397,2009873,90,135
2020-06-10,531612,530780,1062392,871749,1186702,2058451,100,136
2020-06-11,978914,1076082,2054996,880495,1179195,2059690,110,134
2020-06-12,888444,1141238,2029682,883346,1188117,2071463,128,135
2020-06-15,889976,1065893,1955869,902516,1172396,2074912,120,130
2020-06-16,843514,967071,1810585,873391,1203206,2076597,115,138
2020-06-17,541042,674522,1215564,874217,1226351,2100568,125,140
2020-06-18,927628,957671,1885299,873207,1281408,2154615,103,147
2020-06-19,1249881,1145685,2395566,812951,1300495,2113446,92,160
2020-06-22,1060440,892709,1953149,776551,1279950,2056501,84,165
2020-06-23,831554,813864,1645418,773796,1270446,2044242,98,164
2020-06-24,801209,717416,1518625,596396,841625,1438021,90,141
2020-06-29,670738,659855,1330593,654319,882240,1536559,98,135
2020-06-30,857101,887847,1744948,654017,924104,1578121,104,141
2020-07-01,1300628,1101231,2401859,653244,1040880,1694124,85,159
2020-07-02,1865386,1333487,3198873,681680,1083517,1765197,71,159
2020-07-03,1742993,1183155,2926148,717290,1087620,1804910,68,152
2020-07-06,2340107,1610076,3950183,638902,1135454,1774356,69,178
2020-07-07,2160770,1162567,3323337,759284,1159945,1919229,54,153
2020-07-08,1795414,1005199,2800613,841587,1170914,2012501,56,139
2020-07-09,1802126,912138,2714264,855291,1214018,2069309,51,142
2020-07-10,1540142,849371,2389513,921518,1222513,2144031,55,133
2020-07-13,1831008,1061109,2892117,906864,1258648,2165512,58,139
2020-07-14,1686308,1253386,2939694,923877,1272023,2195900,74,138
2020-07-15,1585223,1276050,2861273,965971,1253138,2219109,80,130
2020-07-16,2079983,2218149,4298132,1019732,1082455,2102187,107,106
2020-07-17,1863836,1808316,3672152,1001584,1053919,2055503,97,105
2020-07-20,1740697,1388311,3129008,938732,1047706,1986438,80,112
2020-07-21,1149147,755847,1904994,928981,1054134,1983115,66,113
2020-07-22,1823481,1160052,2983533,711899,740611,1452510,64,104
2020-07-23,1242576,1279894,2522470,757599,817458,1575057,103,108
2020-07-24,1232977,1697854,2930831,863710,844370,1708080,138,98
2020-07-27,890902,968269,1859171,894307,891144,1785451,109,100
2020-07-28,826519,774447,1600966,914240,902220,1816460,94,99
2020-07-29,1377423,907947,2285370,901370,972703,1874073,66,108
2020-07-30,789295,710908,1500203,917689,996604,1914293,90,109
2020-07-31,1594730,1237895,2832625,948946,1016877,1965823,78,107
2020-08-03,1135878,854715,1990593,963489,1068189,2031678,75,111
2020-08-04,1030785,846550,1877335,962795,1092055,2054850,82,113
2020-08-05,889062,891133,1780195,977965,1101315,2079280,100,113
2020-08-06,1115569,1065927,2181496,989762,1110654,2100416,96,112
2020-08-07,1187027,1318006,2505033,1008658,1129762,2138420,111,112
2020-08-10,1051360,1108977,2160337,1010134,1135520,2145654,105,112
2020-08-11,1151357,1170655,2322012,987266,1125578,2112844,102,114
2020-08-12,1369375,1522933,2892308,1048050,1105789,2153839,111,106
2020-08-13,893933,796760,1690693,1062925,1121927,2184852,89,106
2020-08-14,1202994,1177539,2380533,1041072,1127950,2169022,98,108
2020-08-17,1741514,1364403,3105917,1016958,1151169,2168127,78,113
2020-08-18,966250,692510,1658760,1046861,1160959,2207820,72,111
2020-08-19,1146621,942934,2089555,1065887,1148497,2214384,82,108
2020-08-20,1264032,1074163,2338195,1105686,1111631,2217317,85,101
2020-08-21,1134809,847523,1982332,1097614,1107652,2205266,75,101
2020-08-24,1044091,796459,1840550,1022268,1089988,2112256,76,107
2020-08-25,1073138,860415,1933553,997113,1102768,2099881,80,111
2020-08-26,1067833,1053030,2120863,718442,795278,1513720,99,111
2020-08-27,686623,650399,1337022,768279,863169,1631448,95,112
2020-08-28,1260138,1000252,2260390,780686,920123,1700809,79,118
2020-08-31,1221926,786037,2007963,828619,941610,1770229,64,114
2020-09-01,722457,588872,1311329,865239,957745,1822984,82,111
2020-09-02,1087241,806900,1894141,911750,979817,1891567,74,107
2020-09-03,1066292,787755,1854047,942702,989077,1931779,74,105
2020-09-04,975177,978685,1953862,999330,996777,1996107,100,100
2020-09-07,1085552,1009258,2094810,1070417,994467,2064884,93,93
2020-09-08,997294,889741,1887035,1113044,997587,2110631,89,90
2020-09-09,1336340,1364652,2700992,1188120,1015148,2203268,102,85
2020-09-10,1158982,913675,2072657,1180241,1020017,2200258,79,86
2020-09-11,963506,828735,1792241,1187716,1026176,2213892,86,86
2020-09-14,974029,738233,1712262,1154226,1040273,2194499,76,90
2020-09-15,924837,828841,1753678,1109489,1036679,2146168,90,93
2020-09-16,769931,727146,1497077,1107424,1011093,2118517,94,91
2020-09-17,1069032,1094536,2163568,1113172,994612,2107784,102,89
2020-09-18,1636585,1233014,2869599,1070336,1029476,2099812,75,96
2020-09-21,1008335,746479,1754814,1045732,962065,2007797,74,92
2020-09-22,1209859,1044908,2254767,1089982,947594,2037576,86,87
2020-09-23,905580,751852,1657432,733136,570162,1303298,83,78
2020-09-24,848495,1005465,1853960,831305,658906,1490211,118,79
2020-09-25,668490,580668,1249158,880776,679764,1560540,87,77
2020-09-28,630903,495382,1126285,903450,698256,1601706,79,77
2020-09-29,622772,455870,1078642,913089,714537,1627626,73,78
2020-09-30,859962,684276,1544238,935697,725082,1660779,80,77
2020-10-09,935334,790047,1725381,949734,741098,1690832,84,78
2020-10-12,1475104,986828,2461932,934153,809169,1743322,67,87
2020-10-13,879542,572983,1452525,942414,835676,1778090,65,89
2020-10-14,703354,550390,1253744,965225,850701,1815926,78,88
2020-10-15,801209,636687,1437896,992986,880224,1873210,79,89
2020-10-16,882619,749330,1631949,1027624,881870,1909494,85,86
2020-10-19,1530512,1143848,2674360,1072852,893624,1966476,75,83
2020-10-20,767801,625941,1393742,1050871,928371,1979242,82,88
2020-10-21,865719,717972,1583691,1062385,941660,2004045,83,89
2020-10-22,1100536,930268,2030804,1083905,939980,2023885,85,87
2020-10-23,1326444,1060717,2387161,1121120,922474,2043594,80,82
2020-10-26,1229907,1101414,2331321,1089806,883430,1973236,90,81
2020-10-27,806828,678557,1485385,1089610,899451,1989061,84,83
2020-10-28,1024937,773711,1798648,740359,701555,1441914,75,95
2020-10-29,970264,869937,1840201,781359,789369,1570728,90,101
2020-10-30,928669,953050,1881719,839671,792404,1632075,103,94
2020-11-02,774041,711969,1486010,868005,817864,1685869,92,94
2020-11-03,995619,830876,1826495,881069,849524,1730593,83,96
2020-11-04,980364,838519,1818883,903532,886609,1790141,86,98
2020-11-05,1349674,1001439,2351113,897936,915734,1813670,74,102
2020-11-06,895795,745755,1641550,910427,919911,1830338,83,101
2020-11-09,1854050,1219994,3074044,987410,984768,1972178,66,100
2020-11-10,1178358,819883,1998241,988555,990861,1979416,70,100
2020-11-11,870884,762419,1633303,1030468,993846,2024314,88,96
2020-11-12,819538,644352,1463890,1068861,992887,2061748,79,93
2020-11-13,1368676,1185301,2553977,1142151,973125,2115276,87,85
2020-11-16,1033236,750653,1783889,1124907,1005133,2130040,73,89
2020-11-17,843091,695544,1538635,1112903,1001317,2114220,82,90
2020-11-18,1125660,807007,1932667,1130972,992670,2123642,72,88
2020-11-19,1271835,968145,2239980,1090091,1032327,2122418,76,95
2020-11-20,868159,664015,1532174,1081307,1034081,2115388,76,96
2020-11-23,1434906,1007930,2442836,968861,1020323,1989184,70,105
2020-11-24,812733,576767,1389500,996017,1007413,2003430,71,101
2020-11-25,1081636,778852,1860488,821613,722412,1544025,72,88
2020-11-26,814845,673785,1488630,923348,806279,1729627,83,87
2020-11-27,959915,750863,1710778,932808,857526,1790334,78,92
2020-11-30,1720641,1087746,2808387,951219,906399,1857618,63,95
2020-12-01,1355898,924405,2280303,953596,963046,1916642,68,101
2020-12-02,1321816,742339,2064155,984846,984331,1969177,56,100
2020-12-03,904464,593033,1497497,1014384,988282,2002666,66,97
2020-12-04,1018160,671843,1690003,1034580,998491,2033071,66,97
2020-12-07,1002522,724926,1727448,1061910,983531,2045441,72,93
2020-12-08,869198,628156,1497354,1089681,994220,2083901,72,91
2020-12-09,1075900,823025,1898925,1108472,990723,2099195,76,89
2020-12-10,931785,813683,1745468,1102779,1003918,2106697,87,91
2020-12-11,1319374,1400006,2719380,1142639,1007029,2149668,106,88
2020-12-14,814546,745647,1560193,1069614,1019748,2089362,92,95
2020-12-15,784913,741102,1526015,1060577,1014219,2074796,94,96
2020-12-16,783949,654734,1438683,1076444,1017589,2094033,84,95
2020-12-17,1364325,1094984,2459309,1006940,1009246,2016186,80,100
2020-12-18,808703,621729,1430432,1004027,971359,1975386,77,97
2020-12-21,1112996,751079,1864075,954724,942339,1897063,67,99
2020-12-22,921765,778182,1699947,997793,923773,1921566,84,93
2020-12-23,908273,795123,1703396,685307,560356,1245663,88,82
2020-12-24,714977,606191,1321168,730635,610018,1340653,85,83
2020-12-25,821057,669498,1490555,737279,673000,1410279,82,91
2020-12-28,838532,602871,1441403,765135,707311,1472446,72,92
2020-12-29,725399,551436,1276835,792995,711229,1504224,76,90
2020-12-30,896615,682880,1579495,776413,772174,1548587,76,99
2020-12-31,1491203,977565,2468768,799571,821678,1621249,66,103
2021-01-04,1246560,770399,2016959,808166,869062,1677228,62,108
2021-01-05,1413638,974162,2387800,805768,943239,1749007,69,117
2021-01-06,1677160,1089643,2766803,868965,1004635,1873600,65,116
2021-01-07,1680434,1070455,2750889,888137,1033429,1921566,64,116
2021-01-08,1891356,1101249,2992605,940458,1041402,1981860,58,111
2021-01-11,1709352,1077472,2786824,920752,1058290,1979042,63,115
2021-01-12,1614017,1129555,2743572,915405,1077450,1992855,70,118
2021-01-13,1900954,986415,2887369,964154,1084956,2049110,52,113
2021-01-14,1413813,996084,2409897,1036836,1050312,2087148,70,101
2021-01-15,1512998,1131011,2644009,1050293,1038655,2088948,75,99
2021-01-18,1380776,938160,2318936,1068393,1089575,2157968,68,102
2021-01-19,1335738,998857,2334595,1090335,1075502,2165837,75,99
2021-01-20,1217401,977624,2195025,1064692,1102461,2167153,80,104
2021-01-21,1927134,1137646,3064780,1058752,1119438,2178190,59,106
2021-01-22,1356033,882421,2238454,1059718,1094388,2154106,65,103
2021-01-25,1498293,963051,2461344,961710,1096754,2058464,64,114
2021-01-26,1216056,978287,2194343,985473,1063364,2048837,80,108
2021-01-27,1070899,964613,2035512,754839,763030,1517869,90,101
2021-01-28,988986,1059789,2048775,882135,854713,1736848,107,97
2021-01-29,1007330,1029963,2037293,953834,906508,1860342,102,95
2021-02-01,787270,773134,1560404,952130,953874,1906004,98,100
2021-02-02,891860,779868,1671728,903675,983851,1887526,87,109
2021-02-03,858949,842531,1701480,880145,1016540,1896685,98,115
